# An isolated stratocumulus water cloud out of the entire cloud field of rico.20.smagorinsky/MISR01/An
122,106,39      # nx,ny,nz
7,14,28,0.00188,19.688
7,14,29,0.14347,19.947
7,14,30,0.36755,20.210
7,14,31,0.37203,20.483
7,15,29,0.05124,19.947
7,15,30,0.40340,20.210
7,15,31,0.19950,20.483
7,16,30,0.02383,20.210
7,16,31,0.01205,20.483
7,36,4,0.00196,13.314
7,37,4,0.02395,13.314
7,38,3,0.00743,12.521
7,38,4,0.01030,13.314
7,39,3,0.00573,12.521
7,39,4,0.00702,13.314
7,40,4,0.03057,13.314
8,8,29,0.01677,19.947
8,8,30,0.11831,20.210
8,8,31,0.05796,20.483
8,9,29,0.12799,19.947
8,9,30,0.21689,20.210
8,9,31,0.23571,20.483
8,10,29,0.10918,19.947
8,10,30,0.20709,20.210
8,10,31,0.34882,20.483
8,11,29,0.09414,19.947
8,11,30,0.18535,20.210
8,11,31,0.32891,20.483
8,12,29,0.11835,19.947
8,12,30,0.21052,20.210
8,12,31,0.40571,20.483
8,13,29,0.10572,19.947
8,13,30,0.24225,20.210
8,13,31,0.34016,20.483
8,14,29,0.01444,19.947
8,14,30,0.11731,20.210
8,14,31,0.37494,20.483
8,14,32,0.04243,20.751
8,15,30,0.19218,20.210
8,15,31,0.39478,20.483
8,16,30,0.08161,20.210
8,16,31,0.08842,20.483
9,8,29,0.06900,19.947
9,8,30,0.05701,20.210
9,9,27,0.00770,19.491
9,9,28,0.05995,19.688
9,9,29,0.21306,19.947
9,9,30,0.26015,20.210
9,9,31,0.11889,20.483
9,10,28,0.04216,19.688
9,10,29,0.12954,19.947
9,10,30,0.26642,20.210
9,10,31,0.16799,20.483
9,11,29,0.07480,19.947
9,11,30,0.19861,20.210
9,11,31,0.20822,20.483
9,12,28,0.00189,19.688
9,12,29,0.10729,19.947
9,12,30,0.23543,20.210
9,12,31,0.29098,20.483
9,13,29,0.03297,19.947
9,13,30,0.21146,20.210
9,13,31,0.25681,20.483
9,14,30,0.07474,20.210
9,14,31,0.32337,20.483
9,14,32,0.16733,20.751
9,15,30,0.01030,20.210
9,15,31,0.39591,20.483
9,15,32,0.08427,20.751
9,16,30,0.09840,20.210
9,16,31,0.16410,20.483
10,8,29,0.13785,19.947
10,8,30,0.04299,20.210
10,9,27,0.04293,19.491
10,9,28,0.09807,19.688
10,9,29,0.12731,19.947
10,9,30,0.19907,20.210
10,9,31,0.02870,20.483
10,10,28,0.01266,19.688
10,10,30,0.17920,20.210
10,10,31,0.05469,20.483
10,11,30,0.10488,20.210
10,11,31,0.06714,20.483
10,12,30,0.08328,20.210
10,12,31,0.07603,20.483
10,13,30,0.08289,20.210
10,13,31,0.17749,20.483
10,14,30,0.05756,20.210
10,14,31,0.27671,20.483
10,14,32,0.16914,20.751
10,15,31,0.26765,20.483
10,15,32,0.10282,20.751
10,16,31,0.08010,20.483
11,8,29,0.03315,19.947
11,9,28,0.04219,19.688
11,10,28,0.00814,19.688
11,13,31,0.09038,20.483
11,14,31,0.10632,20.483
11,14,32,0.06804,20.751
11,15,31,0.07289,20.483
12,10,27,0.01530,19.491
12,10,28,0.01765,19.688
12,11,27,0.01429,19.491
14,60,10,0.04988,16.321
14,61,10,0.20372,16.321
14,61,11,0.06094,16.756
14,62,10,0.06914,16.321
14,62,11,0.03755,16.756
15,58,3,0.00977,12.521
15,58,4,0.01788,13.314
15,59,4,0.00395,13.314
15,59,10,0.01092,16.321
15,59,11,0.04007,16.756
15,60,9,0.04889,15.904
15,60,10,0.50345,16.321
15,60,11,0.45182,16.756
15,60,12,0.10159,17.022
15,61,9,0.03460,15.904
15,61,10,0.62569,16.321
15,61,11,0.46262,16.756
15,61,12,0.20119,17.022
15,62,9,0.05395,15.904
15,62,10,0.48042,16.321
15,62,11,0.42659,16.756
15,62,12,0.13581,17.022
15,63,10,0.19712,16.321
15,63,11,0.24366,16.756
15,103,3,0.01731,12.521
15,104,3,0.00824,12.521
16,57,3,0.00286,12.521
16,58,4,0.02190,13.314
16,59,8,0.02859,15.532
16,59,9,0.09510,15.904
16,59,10,0.12083,16.321
16,59,11,0.20892,16.756
16,60,8,0.11141,15.532
16,60,9,0.31508,15.904
16,60,10,0.47242,16.321
16,60,11,0.46821,16.756
16,60,12,0.31474,17.022
16,61,8,0.00643,15.532
16,61,9,0.19323,15.904
16,61,10,0.56982,16.321
16,61,11,0.23767,16.756
16,61,12,0.43641,17.022
16,62,8,0.00339,15.532
16,62,9,0.14747,15.904
16,62,10,0.54064,16.321
16,62,11,0.37489,16.756
16,62,12,0.28642,17.022
16,63,8,0.06535,15.532
16,63,9,0.13490,15.904
16,63,10,0.35150,16.321
16,63,11,0.30943,16.756
16,63,12,0.10360,17.022
16,64,10,0.08421,16.321
16,103,3,0.02128,12.521
17,59,8,0.11792,15.532
17,59,9,0.12110,15.904
17,59,10,0.07287,16.321
17,59,11,0.05879,16.756
17,60,7,0.03023,15.106
17,60,8,0.20047,15.532
17,60,9,0.34074,15.904
17,60,10,0.22398,16.321
17,60,11,0.14616,16.756
17,60,12,0.26673,17.022
17,61,8,0.07368,15.532
17,61,9,0.31043,15.904
17,61,10,0.37640,16.321
17,61,12,0.43013,17.022
17,62,8,0.07423,15.532
17,62,9,0.20793,15.904
17,62,10,0.48151,16.321
17,62,11,0.12674,16.756
17,62,12,0.29856,17.022
17,63,7,0.00317,15.106
17,63,8,0.17966,15.532
17,63,9,0.20125,15.904
17,63,10,0.41851,16.321
17,63,11,0.20518,16.756
17,63,12,0.04072,17.022
17,64,7,0.01134,15.106
17,64,8,0.00381,15.532
17,64,9,0.02393,15.904
17,64,10,0.20469,16.321
17,74,8,0.04773,15.532
17,75,8,0.11311,15.532
17,75,9,0.10053,15.904
17,84,6,0.03123,14.607
17,88,7,0.00436,15.106
18,59,8,0.03911,15.532
18,60,7,0.04013,15.106
18,60,8,0.22613,15.532
18,60,9,0.22040,15.904
18,60,10,0.00995,16.321
18,60,11,0.04093,16.756
18,60,12,0.09906,17.022
18,61,7,0.02560,15.106
18,61,8,0.19969,15.532
18,61,9,0.40166,15.904
18,61,10,0.26462,16.321
18,61,12,0.18699,17.022
18,62,8,0.11606,15.532
18,62,9,0.24897,15.904
18,62,10,0.47804,16.321
18,62,11,0.04983,16.756
18,62,12,0.06857,17.022
18,63,7,0.01041,15.106
18,63,8,0.15507,15.532
18,63,9,0.12942,15.904
18,63,10,0.47872,16.321
18,63,11,0.08433,16.756
18,64,7,0.01383,15.106
18,64,8,0.00638,15.532
18,64,10,0.33240,16.321
18,74,7,0.05056,15.106
18,74,8,0.08134,15.532
18,74,9,0.07607,15.904
18,75,8,0.09902,15.532
18,75,9,0.31267,15.904
18,76,9,0.08847,15.904
18,88,7,0.00290,15.106
18,90,7,0.00550,15.106
18,92,7,0.00535,15.106
18,99,7,0.01146,15.106
19,60,7,0.06225,15.106
19,60,8,0.30083,15.532
19,60,9,0.16754,15.904
19,61,7,0.08105,15.106
19,61,8,0.31485,15.532
19,61,9,0.47568,15.904
19,61,10,0.16378,16.321
19,61,12,0.02319,17.022
19,62,7,0.02137,15.106
19,62,8,0.15979,15.532
19,62,9,0.30158,15.904
19,62,10,0.45482,16.321
19,63,8,0.14273,15.532
19,63,9,0.09730,15.904
19,63,10,0.45169,16.321
19,63,11,0.00582,16.756
19,64,7,0.01860,15.106
19,64,8,0.11616,15.532
19,64,10,0.34803,16.321
19,65,7,0.05396,15.106
19,65,8,0.03854,15.532
19,66,7,0.01866,15.106
19,70,5,0.00357,14.001
19,72,6,0.07044,14.607
19,74,7,0.08263,15.106
19,74,9,0.10299,15.904
19,75,9,0.25591,15.904
19,76,9,0.02923,15.904
19,87,7,0.01754,15.106
19,88,7,0.02278,15.106
19,90,7,0.05805,15.106
19,91,7,0.02689,15.106
19,104,8,0.00413,15.532
20,59,8,0.06388,15.532
20,60,7,0.11316,15.106
20,60,8,0.42987,15.532
20,60,9,0.16364,15.904
20,61,6,0.00214,14.607
20,61,7,0.13126,15.106
20,61,8,0.35097,15.532
20,61,9,0.42910,15.904
20,61,10,0.04757,16.321
20,62,6,0.00513,14.607
20,62,7,0.08600,15.106
20,62,8,0.19493,15.532
20,62,9,0.26171,15.904
20,62,10,0.26612,16.321
20,63,7,0.00625,15.106
20,63,8,0.15120,15.532
20,63,9,0.05423,15.904
20,63,10,0.27237,16.321
20,64,7,0.02943,15.106
20,64,8,0.15076,15.532
20,64,10,0.16677,16.321
20,65,7,0.11806,15.106
20,65,8,0.09009,15.532
20,66,7,0.18033,15.106
20,66,8,0.03537,15.532
20,67,7,0.01658,15.106
20,69,5,0.00686,14.001
20,70,5,0.02063,14.001
20,72,6,0.05122,14.607
20,73,6,0.01322,14.607
20,74,7,0.04887,15.106
20,74,9,0.00624,15.904
20,86,7,0.00800,15.106
20,87,6,0.02936,14.607
20,87,7,0.11407,15.106
20,88,7,0.03798,15.106
20,96,7,0.00363,15.106
20,103,8,0.00331,15.532
21,43,2,0.00287,11.685
21,59,5,0.03209,14.001
21,59,7,0.08185,15.106
21,59,8,0.17729,15.532
21,60,5,0.03719,14.001
21,60,6,0.10436,14.607
21,60,7,0.28706,15.106
21,60,8,0.46817,15.532
21,60,9,0.13285,15.904
21,61,6,0.10747,14.607
21,61,7,0.20722,15.106
21,61,8,0.36720,15.532
21,61,9,0.28105,15.904
21,62,6,0.03018,14.607
21,62,7,0.11134,15.106
21,62,8,0.19567,15.532
21,62,9,0.11065,15.904
21,62,10,0.00366,16.321
21,63,7,0.04074,15.106
21,63,8,0.13938,15.532
21,64,7,0.06961,15.106
21,64,8,0.05923,15.532
21,65,7,0.15729,15.106
21,65,8,0.01397,15.532
21,66,6,0.03254,14.607
21,66,7,0.20559,15.106
21,66,8,0.04707,15.532
21,67,6,0.04815,14.607
21,67,7,0.18820,15.106
21,67,8,0.03185,15.532
21,68,6,0.04487,14.607
21,68,7,0.02537,15.106
21,69,5,0.01565,14.001
21,69,6,0.01978,14.607
21,70,5,0.01717,14.001
21,70,6,0.02051,14.607
21,73,6,0.02105,14.607
21,73,7,0.02384,15.106
21,74,7,0.00798,15.106
21,77,7,0.03248,15.106
21,84,6,0.03313,14.607
21,86,7,0.05366,15.106
21,87,6,0.08335,14.607
21,87,7,0.17107,15.106
21,88,7,0.03087,15.106
21,97,7,0.00276,15.106
22,43,2,0.01204,11.685
22,58,5,0.01157,14.001
22,59,5,0.12680,14.001
22,59,6,0.13535,14.607
22,59,7,0.24303,15.106
22,59,8,0.20151,15.532
22,60,5,0.09720,14.001
22,60,6,0.27007,14.607
22,60,7,0.37907,15.106
22,60,8,0.41058,15.532
22,60,9,0.05591,15.904
22,61,5,0.02830,14.001
22,61,6,0.18611,14.607
22,61,7,0.22435,15.106
22,61,8,0.36239,15.532
22,61,9,0.10760,15.904
22,62,6,0.04238,14.607
22,62,7,0.10069,15.106
22,62,8,0.19312,15.532
22,62,9,0.01957,15.904
22,63,7,0.12389,15.106
22,63,8,0.10125,15.532
22,64,7,0.15770,15.106
22,64,8,0.02646,15.532
22,65,7,0.18499,15.106
22,66,6,0.02042,14.607
22,66,7,0.17962,15.106
22,67,6,0.04988,14.607
22,67,7,0.21594,15.106
22,67,8,0.09675,15.532
22,68,6,0.07973,14.607
22,68,7,0.25322,15.106
22,68,8,0.11170,15.532
22,69,6,0.08945,14.607
22,69,7,0.11704,15.106
22,70,6,0.03651,14.607
22,72,6,0.00652,14.607
22,73,6,0.04334,14.607
22,73,7,0.08706,15.106
22,74,7,0.05700,15.106
22,75,7,0.06049,15.106
22,76,7,0.07107,15.106
22,77,7,0.07129,15.106
22,78,7,0.01815,15.106
22,79,5,0.00216,14.001
22,84,6,0.00342,14.607
22,86,7,0.06911,15.106
22,87,6,0.09266,14.607
22,87,7,0.13470,15.106
22,96,7,0.01404,15.106
22,97,7,0.01313,15.106
23,2,5,0.00340,14.001
23,43,2,0.01575,11.685
23,43,3,0.01855,12.521
23,56,4,0.00500,13.314
23,57,4,0.00584,13.314
23,58,4,0.00565,13.314
23,58,5,0.09674,14.001
23,58,6,0.06028,14.607
23,59,5,0.13583,14.001
23,59,6,0.28584,14.607
23,59,7,0.34738,15.106
23,59,8,0.20253,15.532
23,60,5,0.05949,14.001
23,60,6,0.27963,14.607
23,60,7,0.33935,15.106
23,60,8,0.41872,15.532
23,61,5,0.04105,14.001
23,61,6,0.14106,14.607
23,61,7,0.16842,15.106
23,61,8,0.33504,15.532
23,62,5,0.01016,14.001
23,62,6,0.06442,14.607
23,62,7,0.14619,15.106
23,62,8,0.18286,15.532
23,63,6,0.01738,14.607
23,63,7,0.23068,15.106
23,63,8,0.07086,15.532
23,64,7,0.24877,15.106
23,64,8,0.00586,15.532
23,65,7,0.21156,15.106
23,66,6,0.00252,14.607
23,66,7,0.19304,15.106
23,67,6,0.03466,14.607
23,67,7,0.23185,15.106
23,67,8,0.13763,15.532
23,68,6,0.06479,14.607
23,68,7,0.29505,15.106
23,68,8,0.28682,15.532
23,69,6,0.08880,14.607
23,69,7,0.31338,15.106
23,69,8,0.19558,15.532
23,70,6,0.09444,14.607
23,70,7,0.14817,15.106
23,70,8,0.03986,15.532
23,71,6,0.07021,14.607
23,72,6,0.08410,14.607
23,72,7,0.02795,15.106
23,73,6,0.06349,14.607
23,73,7,0.19642,15.106
23,74,6,0.02574,14.607
23,74,7,0.12396,15.106
23,75,6,0.01769,14.607
23,75,7,0.08763,15.106
23,76,7,0.09431,15.106
23,77,7,0.09643,15.106
23,78,7,0.01223,15.106
23,86,7,0.05641,15.106
23,87,6,0.09552,14.607
23,87,7,0.11403,15.106
23,92,7,0.00574,15.106
23,95,7,0.01278,15.106
23,96,6,0.00246,14.607
23,96,7,0.04655,15.106
23,96,8,0.00796,15.532
23,97,7,0.01344,15.106
23,97,8,0.01377,15.532
23,98,8,0.01610,15.532
24,1,5,0.02086,14.001
24,2,5,0.01279,14.001
24,5,5,0.01361,14.001
24,6,5,0.01715,14.001
24,24,4,0.00447,13.314
24,42,3,0.01010,12.521
24,43,2,0.00545,11.685
24,43,3,0.01918,12.521
24,53,3,0.02444,12.521
24,54,3,0.05417,12.521
24,54,4,0.00890,13.314
24,55,3,0.04571,12.521
24,55,4,0.06968,13.314
24,56,3,0.00583,12.521
24,56,4,0.09746,13.314
24,57,4,0.07988,13.314
24,57,5,0.04647,14.001
24,58,4,0.04142,13.314
24,58,5,0.16921,14.001
24,58,6,0.07390,14.607
24,58,7,0.05189,15.106
24,59,4,0.02275,13.314
24,59,5,0.15981,14.001
24,59,6,0.25351,14.607
24,59,7,0.36477,15.106
24,59,8,0.13448,15.532
24,60,4,0.01019,13.314
24,60,5,0.05906,14.001
24,60,6,0.23466,14.607
24,60,7,0.30627,15.106
24,60,8,0.34241,15.532
24,61,4,0.00595,13.314
24,61,5,0.05980,14.001
24,61,6,0.12243,14.607
24,61,7,0.17335,15.106
24,61,8,0.27833,15.532
24,62,4,0.03679,13.314
24,62,5,0.08490,14.001
24,62,6,0.09351,14.607
24,62,7,0.22869,15.106
24,62,8,0.15410,15.532
24,63,4,0.02772,13.314
24,63,5,0.07183,14.001
24,63,6,0.08984,14.607
24,63,7,0.32133,15.106
24,63,8,0.09628,15.532
24,64,4,0.00305,13.314
24,64,5,0.02291,14.001
24,64,6,0.04839,14.607
24,64,7,0.30373,15.106
24,64,8,0.04782,15.532
24,65,6,0.00384,14.607
24,65,7,0.24997,15.106
24,65,8,0.03895,15.532
24,66,7,0.22111,15.106
24,66,8,0.06856,15.532
24,67,6,0.02941,14.607
24,67,7,0.22077,15.106
24,67,8,0.10967,15.532
24,68,6,0.05089,14.607
24,68,7,0.22884,15.106
24,68,8,0.25997,15.532
24,69,6,0.07531,14.607
24,69,7,0.23949,15.106
24,69,8,0.34940,15.532
24,70,6,0.11086,14.607
24,70,7,0.19984,15.106
24,70,8,0.14327,15.532
24,71,5,0.01009,14.001
24,71,6,0.12337,14.607
24,71,7,0.03621,15.106
24,72,5,0.04142,14.001
24,72,6,0.11010,14.607
24,72,7,0.03586,15.106
24,73,5,0.01166,14.001
24,73,6,0.08852,14.607
24,73,7,0.22766,15.106
24,73,8,0.04956,15.532
24,74,6,0.06600,14.607
24,74,7,0.21923,15.106
24,74,8,0.06808,15.532
24,75,6,0.03866,14.607
24,75,7,0.09523,15.106
24,76,7,0.07324,15.106
24,77,7,0.04091,15.106
24,78,5,0.00562,14.001
24,86,7,0.03376,15.106
24,87,6,0.07393,14.607
24,87,7,0.14374,15.106
24,88,7,0.03327,15.106
24,89,7,0.02300,15.106
24,90,7,0.00608,15.106
24,92,7,0.01039,15.106
24,94,8,0.00373,15.532
24,95,6,0.01260,14.607
24,95,8,0.00124,15.532
24,96,6,0.00489,14.607
24,96,7,0.01621,15.106
24,96,8,0.02046,15.532
24,97,8,0.05142,15.532
24,98,8,0.05796,15.532
24,99,8,0.02600,15.532
25,4,4,0.00686,13.314
25,5,4,0.00936,13.314
25,6,5,0.03681,14.001
25,7,5,0.00885,14.001
25,52,3,0.04289,12.521
25,53,3,0.09854,12.521
25,54,3,0.07560,12.521
25,54,4,0.03445,13.314
25,55,3,0.05224,12.521
25,55,4,0.07222,13.314
25,56,3,0.02317,12.521
25,56,4,0.13193,13.314
25,57,3,0.00284,12.521
25,57,4,0.13000,13.314
25,57,5,0.06465,14.001
25,58,4,0.07925,13.314
25,58,5,0.18943,14.001
25,58,6,0.01068,14.607
25,58,7,0.02749,15.106
25,59,4,0.05643,13.314
25,59,5,0.19967,14.001
25,59,6,0.22131,14.607
25,59,7,0.27620,15.106
25,59,8,0.00463,15.532
25,60,4,0.05974,13.314
25,60,5,0.11659,14.001
25,60,6,0.27389,14.607
25,60,7,0.33554,15.106
25,60,8,0.17759,15.532
25,61,4,0.06831,13.314
25,61,5,0.12603,14.001
25,61,6,0.19953,14.607
25,61,7,0.28309,15.106
25,61,8,0.20950,15.532
25,62,3,0.01064,12.521
25,62,4,0.09590,13.314
25,62,5,0.17134,14.001
25,62,6,0.18301,14.607
25,62,7,0.30908,15.106
25,62,8,0.18058,15.532
25,63,3,0.00670,12.521
25,63,4,0.09819,13.314
25,63,5,0.18270,14.001
25,63,6,0.19916,14.607
25,63,7,0.37184,15.106
25,63,8,0.12334,15.532
25,64,4,0.03489,13.314
25,64,5,0.13885,14.001
25,64,6,0.16565,14.607
25,64,7,0.34092,15.106
25,64,8,0.10203,15.532
25,65,5,0.05158,14.001
25,65,6,0.09407,14.607
25,65,7,0.28420,15.106
25,65,8,0.13946,15.532
25,66,6,0.05598,14.607
25,66,7,0.25315,15.106
25,66,8,0.15670,15.532
25,67,6,0.08293,14.607
25,67,7,0.23531,15.106
25,67,8,0.11843,15.532
25,68,6,0.09453,14.607
25,68,7,0.20432,15.106
25,68,8,0.17605,15.532
25,69,6,0.08234,14.607
25,69,7,0.15640,15.106
25,69,8,0.27302,15.532
25,70,6,0.10140,14.607
25,70,7,0.11931,15.106
25,70,8,0.12419,15.532
25,71,5,0.05349,14.001
25,71,6,0.13256,14.607
25,71,7,0.02400,15.106
25,72,5,0.09926,14.001
25,72,6,0.11502,14.607
25,73,5,0.04638,14.001
25,73,6,0.10697,14.607
25,73,7,0.09202,15.106
25,73,8,0.09678,15.532
25,74,5,0.01468,14.001
25,74,6,0.08359,14.607
25,74,7,0.14329,15.106
25,74,8,0.29101,15.532
25,75,6,0.02258,14.607
25,75,7,0.05836,15.106
25,75,8,0.28156,15.532
25,75,9,0.09673,15.904
25,76,7,0.02380,15.106
25,76,8,0.13615,15.532
25,76,9,0.05280,15.904
25,77,8,0.05183,15.532
25,86,5,0.02323,14.001
25,87,6,0.02476,14.607
25,87,7,0.10802,15.106
25,88,7,0.15661,15.106
25,89,7,0.12199,15.106
25,90,7,0.04701,15.106
25,92,7,0.00358,15.106
25,93,8,0.01380,15.532
25,94,8,0.06456,15.532
25,95,8,0.00160,15.532
25,97,8,0.00698,15.532
25,98,8,0.06014,15.532
25,99,8,0.02334,15.532
25,102,9,0.02037,15.904
25,102,10,0.01660,16.321
25,103,10,0.01687,16.321
26,7,5,0.00416,14.001
26,8,5,0.00663,14.001
26,52,3,0.01642,12.521
26,53,3,0.03216,12.521
26,54,3,0.02778,12.521
26,54,4,0.00628,13.314
26,55,3,0.00892,12.521
26,55,4,0.03066,13.314
26,56,3,0.00317,12.521
26,56,4,0.07131,13.314
26,57,3,0.02654,12.521
26,57,4,0.11112,13.314
26,57,5,0.04735,14.001
26,58,3,0.01745,12.521
26,58,4,0.09647,13.314
26,58,5,0.13814,14.001
26,59,3,0.00601,12.521
26,59,4,0.09051,13.314
26,59,5,0.21389,14.001
26,59,6,0.20034,14.607
26,59,7,0.17565,15.106
26,60,3,0.00654,12.521
26,60,4,0.09678,13.314
26,60,5,0.17517,14.001
26,60,6,0.32738,14.607
26,60,7,0.37143,15.106
26,60,8,0.07860,15.532
26,61,3,0.00513,12.521
26,61,4,0.10240,13.314
26,61,5,0.18002,14.001
26,61,6,0.29654,14.607
26,61,7,0.36911,15.106
26,61,8,0.18907,15.532
26,62,3,0.00251,12.521
26,62,4,0.11111,13.314
26,62,5,0.21476,14.001
26,62,6,0.28933,14.607
26,62,7,0.34367,15.106
26,62,8,0.16607,15.532
26,63,4,0.10462,13.314
26,63,5,0.20318,14.001
26,63,6,0.30910,14.607
26,63,7,0.37509,15.106
26,63,8,0.11053,15.532
26,64,4,0.04561,13.314
26,64,5,0.15408,14.001
