#name=An isolated stratocumulus water cloud out of the entire cloud field.
#original_cloud_data=@storm/data2/gmatheou/Factory/jplles/rev153/rico.20.smagorinsky/MISR01/An
#resampled_cloud_data_grid_size=20,20,40m
32 36 25
0.020 0.020     0.440     0.480     0.520     0.560     0.600     0.640     0.680     0.720     0.760     0.800     0.840     0.880     0.920     0.960     1.000     1.040     1.080     1.120     1.160     1.200     1.240     1.280     1.320     1.360     1.400
2 2 4    0.00675 12.52100
5 19 16    1.12940 17.59300
5 19 17    0.71344 17.79400
5 20 5    0.00152 13.31400
5 20 6    0.10592 14.00100
5 20 10    0.18070 15.90400
5 20 11    0.04297 16.32100
5 20 15    0.61664 17.42500
5 20 16    1.14760 17.59300
5 20 17    0.92270 17.79400
5 21 6    0.01708 14.00100
5 21 9    0.28175 15.53200
5 21 10    0.42300 15.90400
5 21 11    0.42157 16.32100
5 21 12    0.07971 16.75600
5 21 15    0.55652 17.42500
5 21 16    1.10530 17.59300
5 21 17    0.95351 17.79400
5 21 18    0.00893 17.99000
5 22 5    0.00177 13.31400
5 22 7    0.02140 14.60700
5 22 8    0.11057 15.10600
5 22 9    0.22224 15.53200
5 22 10    0.08441 15.90400
5 22 11    0.35949 16.32100
5 22 12    0.34785 16.75600
5 22 15    0.48864 17.42500
5 22 16    1.00540 17.59300
5 22 17    0.84420 17.79400
5 22 18    0.00250 17.99000
5 23 5    0.03167 13.31400
5 23 6    0.09759 14.00100
5 23 7    0.22561 14.60700
5 23 8    0.16562 15.10600
5 23 11    0.05509 16.32100
5 23 12    0.45831 16.75600
5 23 15    0.31223 17.42500
5 23 16    0.83909 17.59300
5 23 17    0.79356 17.79400
5 23 18    0.00437 17.99000
5 24 5    0.01550 13.31400
5 24 6    0.14418 14.00100
5 24 7    0.13075 14.60700
5 24 12    0.37762 16.75600
5 24 13    0.01422 17.02200
5 24 15    0.11114 17.42500
5 24 16    0.64692 17.59300
5 24 17    0.65728 17.79400
5 25 4    0.00633 12.52100
5 25 6    0.02276 14.00100
5 25 12    0.35456 16.75600
5 25 16    0.33688 17.59300
5 25 17    0.52968 17.79400
5 26 4    0.00275 12.52100
5 26 11    0.12124 16.32100
5 26 12    0.27281 16.75600
5 26 16    0.15875 17.59300
5 26 17    0.38670 17.79400
5 26 18    0.03806 17.99000
5 27 6    0.00857 14.00100
5 27 10    0.12025 15.90400
5 27 11    0.22346 16.32100
5 27 12    0.06922 16.75600
5 27 17    0.07308 17.79400
5 29 18    0.11433 17.99000
5 29 19    0.09259 18.17600
5 29 20    0.07744 18.32500
5 29 21    0.02379 18.42500
5 30 17    0.05887 17.79400
5 30 18    0.20307 17.99000
5 30 19    0.10242 18.17600
5 32 9    0.04638 15.53200
5 33 9    0.17384 15.53200
5 34 6    0.01113 14.00100
5 34 9    0.11277 15.53200
6 3 4    0.01427 12.52100
6 4 4    0.01189 12.52100
6 4 5    0.01009 13.31400
6 5 4    0.00988 12.52100
6 6 4    0.00624 12.52100
6 12 9    0.14717 15.53200
6 13 8    0.01245 15.10600
6 13 9    0.22870 15.53200
6 13 10    0.16013 15.90400
6 13 11    0.09653 16.32100
6 13 12    0.01424 16.75600
6 14 8    0.04057 15.10600
6 14 9    0.23180 15.53200
6 14 10    0.29546 15.90400
6 14 11    0.38930 16.32100
6 14 12    0.31275 16.75600
6 14 15    0.07850 17.42500
6 15 8    0.00693 15.10600
6 15 9    0.09516 15.53200
6 15 10    0.32936 15.90400
6 15 11    0.45931 16.32100
6 15 12    0.55049 16.75600
6 15 13    0.08095 17.02200
6 15 14    0.19863 17.26100
6 15 15    0.68492 17.42500
6 15 16    0.42262 17.59300
6 16 10    0.11186 15.90400
6 16 11    0.42833 16.32100
6 16 12    0.64708 16.75600
6 16 13    0.19361 17.02200
6 16 14    0.30933 17.26100
6 16 15    0.86487 17.42500
6 16 16    1.01670 17.59300
6 16 17    0.22753 17.79400
6 17 11    0.18052 16.32100
6 17 12    0.57887 16.75600
6 17 13    0.31041 17.02200
6 17 14    0.30856 17.26100
6 17 15    0.86915 17.42500
6 17 16    1.02970 17.59300
6 17 17    0.59725 17.79400
6 18 12    0.23687 16.75600
6 18 13    0.23005 17.02200
6 18 14    0.25228 17.26100
6 18 15    0.81357 17.42500
6 18 16    0.95189 17.59300
6 18 17    0.90011 17.79400
6 19 5    0.04322 13.31400
6 19 13    0.04618 17.02200
6 19 14    0.18828 17.26100
6 19 15    0.66239 17.42500
6 19 16    0.93386 17.59300
6 19 17    1.08480 17.79400
6 19 18    0.07039 17.99000
6 20 6    0.07963 14.00100
6 20 9    0.07058 15.53200
6 20 10    0.36552 15.90400
6 20 11    0.26023 16.32100
6 20 12    0.03649 16.75600
6 20 14    0.08418 17.26100
6 20 15    0.53220 17.42500
6 20 16    0.90787 17.59300
6 20 17    1.19240 17.79400
6 20 18    0.25054 17.99000
6 21 6    0.06003 14.00100
6 21 8    0.06482 15.10600
6 21 9    0.30548 15.53200
6 21 10    0.47845 15.90400
6 21 11    0.58011 16.32100
6 21 12    0.36901 16.75600
6 21 13    0.02769 17.02200
6 21 15    0.48421 17.42500
6 21 16    0.94269 17.59300
6 21 17    1.22190 17.79400
6 21 18    0.35769 17.99000
6 22 5    0.00336 13.31400
6 22 6    0.01444 14.00100
6 22 7    0.10903 14.60700
6 22 8    0.16614 15.10600
6 22 9    0.11731 15.53200
6 22 10    0.14722 15.90400
6 22 11    0.41326 16.32100
6 22 12    0.50760 16.75600
6 22 13    0.14463 17.02200
6 22 15    0.47922 17.42500
6 22 16    0.99161 17.59300
6 22 17    1.18730 17.79400
6 22 18    0.36979 17.99000
6 23 5    0.01144 13.31400
6 23 6    0.04963 14.00100
6 23 7    0.19040 14.60700
6 23 8    0.08577 15.10600
6 23 10    0.09549 15.90400
6 23 11    0.12222 16.32100
6 23 12    0.33657 16.75600
6 23 13    0.16640 17.02200
6 23 15    0.45441 17.42500
6 23 16    0.99066 17.59300
6 23 17    1.13700 17.79400
6 23 18    0.37354 17.99000
6 24 5    0.01471 13.31400
6 24 6    0.06773 14.00100
6 24 7    0.08937 14.60700
6 24 10    0.11943 15.90400
6 24 11    0.01421 16.32100
6 24 12    0.17515 16.75600
6 24 13    0.10805 17.02200
6 24 15    0.29724 17.42500
6 24 16    0.97483 17.59300
6 24 17    1.08950 17.79400
6 24 18    0.38205 17.99000
6 25 4    0.00800 12.52100
6 25 6    0.03088 14.00100
6 25 12    0.24619 16.75600
6 25 13    0.05854 17.02200
6 25 15    0.16414 17.42500
6 25 16    0.87683 17.59300
6 25 17    1.01990 17.79400
6 25 18    0.47248 17.99000
6 26 4    0.00129 12.52100
6 26 6    0.02590 14.00100
6 26 11    0.03800 16.32100
6 26 12    0.34465 16.75600
6 26 15    0.00660 17.42500
6 26 16    0.68823 17.59300
6 26 17    0.96396 17.79400
6 26 18    0.61899 17.99000
6 27 6    0.06455 14.00100
6 27 10    0.02191 15.90400
6 27 11    0.16739 16.32100
6 27 12    0.13858 16.75600
6 27 16    0.32258 17.59300
6 27 17    0.78219 17.79400
6 27 18    0.53895 17.99000
6 27 20    0.07058 18.32500
6 27 21    0.30293 18.42500
6 27 22    0.23982 18.50600
6 28 6    0.02888 14.00100
6 28 16    0.07135 17.59300
6 28 17    0.40919 17.79400
6 28 18    0.38582 17.99000
6 28 19    0.21099 18.17600
6 28 20    0.42120 18.32500
6 28 21    0.57746 18.42500
6 28 22    0.40072 18.50600
6 29 16    0.06881 17.59300
6 29 17    0.36300 17.79400
6 29 18    0.49294 17.99000
6 29 19    0.55277 18.17600
6 29 20    0.67475 18.32500
6 29 21    0.71365 18.42500
6 29 22    0.37738 18.50600
6 30 16    0.16622 17.59300
6 30 17    0.50642 17.79400
6 30 18    0.67340 17.99000
6 30 19    0.75789 18.17600
6 30 20    0.57203 18.32500
6 30 21    0.38373 18.42500
6 30 22    0.04504 18.50600
6 31 6    0.03085 14.00100
6 31 16    0.03599 17.59300
6 31 17    0.29693 17.79400
6 31 18    0.48332 17.99000
6 31 19    0.48172 18.17600
6 31 20    0.08910 18.32500
6 32 6    0.01472 14.00100
6 32 9    0.08919 15.53200
6 32 10    0.02059 15.90400
6 33 9    0.15934 15.53200
6 33 10    0.06742 15.90400
6 34 9    0.07703 15.53200
6 34 10    0.01219 15.90400
7 4 4    0.00606 12.52100
7 6 4    0.00477 12.52100
7 7 4    0.00242 12.52100
7 11 9    0.16950 15.53200
7 12 8    0.08342 15.10600
7 12 9    0.30831 15.53200
7 12 10    0.20336 15.90400
7 13 8    0.11300 15.10600
7 13 9    0.27119 15.53200
7 13 10    0.31641 15.90400
7 13 11    0.26348 16.32100
7 13 12    0.24416 16.75600
7 14 8    0.02057 15.10600
7 14 9    0.16837 15.53200
7 14 10    0.29904 15.90400
7 14 11    0.33961 16.32100
7 14 12    0.50371 16.75600
7 14 13    0.25534 17.02200
7 14 14    0.31111 17.26100
7 14 15    0.51372 17.42500
7 14 16    0.10731 17.59300
7 15 9    0.01129 15.53200
7 15 10    0.21379 15.90400
7 15 11    0.33973 16.32100
7 15 12    0.48874 16.75600
7 15 13    0.45708 17.02200
7 15 14    0.49599 17.26100
7 15 15    0.90479 17.42500
7 15 16    0.79063 17.59300
7 16 10    0.04711 15.90400
7 16 11    0.32451 16.32100
7 16 12    0.55567 16.75600
7 16 13    0.55510 17.02200
7 16 14    0.50795 17.26100
7 16 15    0.80082 17.42500
7 16 16    0.94969 17.59300
7 16 17    0.35392 17.79400
7 17 11    0.13735 16.32100
7 17 12    0.56424 16.75600
7 17 13    0.67953 17.02200
7 17 14    0.53007 17.26100
7 17 15    0.78972 17.42500
7 17 16    0.67888 17.59300
7 17 17    0.70950 17.79400
7 18 11    0.06181 16.32100
7 18 12    0.35306 16.75600
7 18 13    0.53408 17.02200
7 18 14    0.49768 17.26100
7 18 15    0.74326 17.42500
7 18 16    0.66230 17.59300
7 18 17    0.86739 17.79400
7 18 18    0.00280 17.99000
7 19 5    0.05139 13.31400
7 19 9    0.00368 15.53200
7 19 10    0.09155 15.90400
7 19 11    0.12976 16.32100
7 19 12    0.17871 16.75600
7 19 13    0.25869 17.02200
7 19 14    0.36245 17.26100
7 19 15    0.52336 17.42500
7 19 16    0.69795 17.59300
7 19 17    0.92233 17.79400
7 19 18    0.23751 17.99000
7 20 5    0.01567 13.31400
7 20 6    0.06109 14.00100
7 20 7    0.15830 14.60700
7 20 8    0.13439 15.10600
7 20 9    0.31056 15.53200
7 20 10    0.47358 15.90400
7 20 11    0.46107 16.32100
7 20 12    0.35518 16.75600
7 20 13    0.23058 17.02200
7 20 14    0.24932 17.26100
7 20 15    0.38747 17.42500
7 20 16    0.63296 17.59300
7 20 17    0.87534 17.79400
7 20 18    0.41229 17.99000
7 21 6    0.11060 14.00100
7 21 7    0.19435 14.60700
7 21 8    0.24095 15.10600
7 21 9    0.39553 15.53200
7 21 10    0.58389 15.90400
7 21 11    0.66142 16.32100
7 21 12    0.57431 16.75600
7 21 13    0.42733 17.02200
7 21 14    0.23945 17.26100
7 21 15    0.34491 17.42500
7 21 16    0.62152 17.59300
7 21 17    0.83934 17.79400
7 21 18    0.58381 17.99000
7 22 5    0.00615 13.31400
7 22 6    0.01547 14.00100
7 22 7    0.09559 14.60700
7 22 8    0.19671 15.10600
7 22 9    0.20843 15.53200
7 22 10    0.41434 15.90400
7 22 11    0.51032 16.32100
7 22 12    0.41590 16.75600
7 22 13    0.48693 17.02200
7 22 14    0.24555 17.26100
7 22 15    0.31028 17.42500
7 22 16    0.64640 17.59300
7 22 17    0.81685 17.79400
7 22 18    0.69351 17.99000
7 23 5    0.05141 13.31400
7 23 6    0.02284 14.00100
7 23 7    0.14693 14.60700
7 23 8    0.12675 15.10600
7 23 9    0.10185 15.53200
7 23 10    0.40486 15.90400
7 23 11    0.26196 16.32100
7 23 12    0.07641 16.75600
7 23 13    0.33388 17.02200
7 23 14    0.13556 17.26100
7 23 15    0.26894 17.42500
7 23 16    0.70634 17.59300
7 23 17    0.75256 17.79400
7 23 18    0.73298 17.99000
7 24 5    0.02045 13.31400
7 24 6    0.05750 14.00100
7 24 7    0.12524 14.60700
7 24 8    0.01288 15.10600
7 24 9    0.14444 15.53200
7 24 10    0.17718 15.90400
7 24 11    0.04170 16.32100
7 24 13    0.21472 17.02200
7 24 14    0.03792 17.26100
7 24 15    0.21026 17.42500
7 24 16    0.74547 17.59300
7 24 17    0.74531 17.79400
7 24 18    0.80024 17.99000
7 25 4    0.01024 12.52100
7 25 6    0.04351 14.00100
7 25 7    0.01182 14.60700
7 25 12    0.05998 16.75600
7 25 13    0.12644 17.02200
7 25 15    0.17603 17.42500
7 25 16    0.75783 17.59300
7 25 17    0.76154 17.79400
7 25 18    0.91438 17.99000
7 25 22    0.00577 18.50600
7 26 4    0.01485 12.52100
7 26 6    0.05897 14.00100
7 26 11    0.03090 16.32100
7 26 12    0.19943 16.75600
7 26 15    0.09097 17.42500
7 26 16    0.67765 17.59300
7 26 17    0.80821 17.79400
7 26 18    1.00280 17.99000
7 26 19    0.15743 18.17600
7 26 20    0.07815 18.32500
7 26 21    0.54715 18.42500
7 26 22    0.63046 18.50600
7 26 23    0.02154 18.57300
7 27 6    0.06901 14.00100
7 27 11    0.12762 16.32100
7 27 12    0.09127 16.75600
7 27 16    0.55583 17.59300
7 27 17    0.90557 17.79400
7 27 18    1.03670 17.99000
7 27 19    0.34917 18.17600
7 27 20    0.33366 18.32500
7 27 21    0.83549 18.42500
7 27 22    1.06030 18.50600
7 27 23    0.24672 18.57300
7 28 6    0.02029 14.00100
7 28 16    0.38161 17.59300
7 28 17    0.81044 17.79400
7 28 18    0.95573 17.99000
7 28 19    0.61579 18.17600
7 28 20    0.61505 18.32500
7 28 21    0.99004 18.42500
7 28 22    1.10440 18.50600
7 28 23    0.28030 18.57300
7 29 16    0.33120 17.59300
7 29 17    0.68159 17.79400
7 29 18    0.83499 17.99000
7 29 19    0.74442 18.17600
7 29 20    0.88030 18.32500
7 29 21    1.13790 18.42500
7 29 22    1.09440 18.50600
7 29 23    0.17093 18.57300
7 30 6    0.04900 14.00100
7 30 16    0.39188 17.59300
7 30 17    0.66486 17.79400
7 30 18    0.83692 17.99000
7 30 19    0.94269 18.17600
7 30 20    1.06220 18.32500
7 30 21    0.96753 18.42500
7 30 22    0.62001 18.50600
7 31 6    0.06930 14.00100
7 31 16    0.18906 17.59300
7 31 17    0.44609 17.79400
7 31 18    0.68300 17.99000
7 31 19    0.92757 18.17600
7 31 20    0.72181 18.32500
7 31 21    0.46197 18.42500
7 31 22    0.05733 18.50600
7 32 6    0.00242 14.00100
7 32 9    0.01717 15.53200
7 32 10    0.08689 15.90400
7 32 18    0.19199 17.99000
7 32 19    0.30954 18.17600
7 33 9    0.04504 15.53200
7 33 10    0.03738 15.90400
8 10 8    0.01987 15.10600
8 10 9    0.10428 15.53200
8 11 8    0.15919 15.10600
8 11 9    0.29547 15.53200
8 11 10    0.14225 15.90400
8 12 8    0.16335 15.10600
8 12 9    0.23659 15.53200
8 12 10    0.28864 15.90400
8 12 11    0.06877 16.32100
8 12 12    0.07545 16.75600
8 13 8    0.07566 15.10600
8 13 9    0.11134 15.53200
8 13 10    0.20204 15.90400
8 13 11    0.32422 16.32100
8 13 12    0.45813 16.75600
8 13 13    0.19324 17.02200
8 13 14    0.21275 17.26100
8 13 15    0.08822 17.42500
8 14 9    0.01117 15.53200
8 14 10    0.09219 15.90400
8 14 11    0.25962 16.32100
8 14 12    0.44094 16.75600
8 14 13    0.51767 17.02200
8 14 14    0.65076 17.26100
8 14 15    0.71881 17.42500
8 14 16    0.19568 17.59300
8 15 10    0.03395 15.90400
8 15 11    0.25625 16.32100
8 15 12    0.29896 16.75600
8 15 13    0.56580 17.02200
8 15 14    0.65883 17.26100
8 15 15    0.83284 17.42500
8 15 16    0.75714 17.59300
8 15 17    0.01254 17.79400
8 16 11    0.20801 16.32100
8 16 12    0.39857 16.75600
8 16 13    0.65034 17.02200
8 16 14    0.71857 17.26100
8 16 15    0.70256 17.42500
8 16 16    0.75078 17.59300
8 16 17    0.28258 17.79400
8 17 11    0.11560 16.32100
8 17 12    0.43179 16.75600
8 17 13    0.75991 17.02200
8 17 14    0.76611 17.26100
8 17 15    0.77346 17.42500
8 17 16    0.66205 17.59300
8 17 17    0.50959 17.79400
8 18 10    0.00522 15.90400
8 18 11    0.17502 16.32100
8 18 12    0.35132 16.75600
8 18 13    0.58374 17.02200
8 18 14    0.67509 17.26100
8 18 15    0.68299 17.42500
8 18 16    0.74887 17.59300
8 18 17    0.69639 17.79400
8 18 18    0.02621 17.99000
8 19 5    0.03481 13.31400
8 19 6    0.02336 14.00100
8 19 7    0.15196 14.60700
8 19 8    0.18863 15.10600
8 19 9    0.30846 15.53200
8 19 10    0.25764 15.90400
8 19 11    0.36084 16.32100
8 19 12    0.35682 16.75600
8 19 13    0.37246 17.02200
8 19 14    0.51285 17.26100
8 19 15    0.44314 17.42500
8 19 16    0.70373 17.59300
8 19 17    0.78571 17.79400
8 19 18    0.24301 17.99000
8 20 5    0.09406 13.31400
8 20 6    0.13285 14.00100
8 20 7    0.35897 14.60700
8 20 8    0.37217 15.10600
8 20 9    0.49499 15.53200
8 20 10    0.49578 15.90400
8 20 11    0.56512 16.32100
8 20 12    0.47804 16.75600
8 20 13    0.45432 17.02200
8 20 14    0.52180 17.26100
8 20 15    0.44945 17.42500
8 20 16    0.61847 17.59300
8 20 17    0.67262 17.79400
8 20 18    0.38462 17.99000
8 21 6    0.15050 14.00100
8 21 7    0.25879 14.60700
8 21 8    0.37810 15.10600
8 21 9    0.49696 15.53200
8 21 10    0.62011 15.90400
8 21 11    0.65953 16.32100
8 21 12    0.45149 16.75600
8 21 13    0.56195 17.02200
8 21 14    0.61078 17.26100
8 21 15    0.49778 17.42500
8 21 16    0.56690 17.59300
8 21 17    0.56593 17.79400
8 21 18    0.58358 17.99000
8 22 5    0.00515 13.31400
8 22 6    0.03276 14.00100
8 22 7    0.10352 14.60700
8 22 8    0.25031 15.10600
8 22 9    0.36646 15.53200
8 22 10    0.57843 15.90400
8 22 11    0.52884 16.32100
8 22 12    0.22785 16.75600
8 22 13    0.42373 17.02200
8 22 14    0.56005 17.26100
8 22 15    0.42928 17.42500
8 22 16    0.49533 17.59300
8 22 17    0.50275 17.79400
8 22 18    0.70834 17.99000
8 23 5    0.09350 13.31400
8 23 6    0.04786 14.00100
8 23 7    0.16631 14.60700
8 23 8    0.23472 15.10600
8 23 9    0.32536 15.53200
8 23 10    0.46699 15.90400
8 23 11    0.27999 16.32100
8 23 13    0.19388 17.02200
8 23 14    0.38817 17.26100
8 23 15    0.35073 17.42500
8 23 16    0.48654 17.59300
8 23 17    0.43694 17.79400
8 23 18    0.76520 17.99000
8 24 5    0.04283 13.31400
8 24 6    0.10342 14.00100
8 24 7    0.20813 14.60700
8 24 8    0.26368 15.10600
8 24 9    0.33575 15.53200
8 24 10    0.17512 15.90400
8 24 13    0.19425 17.02200
8 24 14    0.25605 17.26100
8 24 15    0.24681 17.42500
8 24 16    0.45990 17.59300
8 24 17    0.41843 17.79400
8 24 18    0.81063 17.99000
8 25 4    0.01014 12.52100
8 25 5    0.02602 13.31400
8 25 6    0.05955 14.00100
8 25 7    0.08764 14.60700
8 25 8    0.13180 15.10600
8 25 9    0.03994 15.53200
8 25 12    0.01165 16.75600
8 25 13    0.25430 17.02200
8 25 14    0.11381 17.26100
8 25 15    0.12402 17.42500
8 25 16    0.41831 17.59300
8 25 17    0.41107 17.79400
8 25 18    0.84122 17.99000
8 25 19    0.16793 18.17600
8 25 21    0.51313 18.42500
8 25 22    0.57455 18.50600
8 25 23    0.00332 18.57300
8 26 4    0.02938 12.52100
8 26 6    0.04712 14.00100
8 26 7    0.01393 14.60700
8 26 11    0.00323 16.32100
8 26 12    0.07469 16.75600
8 26 13    0.06415 17.02200
8 26 15    0.11522 17.42500
8 26 16    0.44440 17.59300
8 26 17    0.50298 17.79400
8 26 18    0.81665 17.99000
8 26 19    0.49052 18.17600
8 26 20    0.20500 18.32500
8 26 21    0.97400 18.42500
8 26 22    1.38520 18.50600
8 26 23    0.41059 18.57300
8 27 4    0.00927 12.52100
8 27 6    0.04399 14.00100
8 27 11    0.04974 16.32100
8 27 12    0.01528 16.75600
8 27 15    0.07395 17.42500
8 27 16    0.49871 17.59300
8 27 17    0.65864 17.79400
8 27 18    0.91441 17.99000
8 27 19    0.84207 18.17600
8 27 20    0.41139 18.32500
8 27 21    0.85113 18.42500
8 27 22    1.32550 18.50600
8 27 23    0.87052 18.57300
8 28 6    0.00170 14.00100
8 28 15    0.01422 17.42500
8 28 16    0.51855 17.59300
8 28 17    0.77484 17.79400
8 28 18    1.04080 17.99000
8 28 19    1.09290 18.17600
8 28 20    0.62941 18.32500
8 28 21    0.91535 18.42500
8 28 22    1.25860 18.50600
8 28 23    0.86426 18.57300
8 29 15    0.03000 17.42500
8 29 16    0.44542 17.59300
8 29 17    0.66180 17.79400
8 29 18    0.84479 17.99000
8 29 19    0.97176 18.17600
8 29 20    0.81804 18.32500
8 29 21    1.05730 18.42500
8 29 22    1.37110 18.50600
8 29 23    0.57887 18.57300
8 30 6    0.04003 14.00100
8 30 15    0.05823 17.42500
8 30 16    0.37871 17.59300
8 30 17    0.49712 17.79400
8 30 18    0.67724 17.99000
8 30 19    0.85983 18.17600
8 30 20    1.06790 18.32500
8 30 21    1.18720 18.42500
8 30 22    1.17120 18.50600
8 30 23    0.18458 18.57300
8 31 6    0.03297 14.00100
8 31 15    0.00360 17.42500
8 31 16    0.21587 17.59300
8 31 17    0.26897 17.79400
8 31 18    0.54680 17.99000
8 31 19    0.85995 18.17600
8 31 20    0.98892 18.32500
8 31 21    0.91641 18.42500
8 31 22    0.51371 18.50600
8 32 10    0.07139 15.90400
