# Air Force Geophysics Laboratory (AFGL) Atmospheric Constituent Profiles (0-120km)
# G.P. Anderson, J.H. Chetwynd, S.A. Clough, e.P. Shettle, F.X. Kneizys, 1986
# https://apps.dtic.mil/dtic/tr/fulltext/u2/a175173.pdf
# Model 2: Mid-Latitude Summer (45N July)
Altitude(km) Pressure(mb) Temperature(k) Density(cm^-3) H2O(ppmv) O3(ppmv) N2O(ppmv) CO(ppmv) CH4(ppmv)
15.00 1.300e+02 215.7 4.368e+18 3.40e+00 5.00e-01 2.72e-01 3.94e-02 1.42e+00
16.00 1.110e+02 215.7 3.730e+18 3.30e+00 6.00e-01 2.61e-01 3.07e-02 1.39e+00
17.00 9.500e+01 215.7 3.192e+18 3.20e+00 7.00e-01 2.42e-01 2.49e-02 1.36e+00
18.00 8.120e+01 216.8 2.715e+18 3.15e+00 1.00e+00 2.17e-01 1.97e-02 1.32e+00
19.00 6.950e+01 217.9 2.312e+18 3.20e+00 1.50e+00 1.84e-01 1.55e-02 1.28e+00
20.00 6.950e+01 219.2 1.967e+18 3.30e+00 2.00e+00 1.61e-01 1.33e-02 1.22e+00
21.00 5.100e+01 220.4 1.677e+13 3.45e+00 2.40e+00 1.32e-01 1.23e-02 1.15e+00
22.00 4.370e+01 221.6 1.429e+18 3.60e+00 2.90e+00 1.15e-01 1.23e-02 1.07e+00
23.00 3.760e+01 222.8 1.223e+18 3.85e+00 3.40e+00 1.04e-01 1.31e-02 9.73e-01
24.00 3.220e+01 223.9 1.042e+18 4.00e+00 4.00e+00 9.62e-02 1.40e-02 8.80e-01
25.00 2.770e+01 225.1 8.919e+17 4.20e+00 4.80e+00 8.96e-02 1.52e-02 7.89e-01
27.60 1.907e+01 228.5 6.050e+17 4.45e+00 6.00e+00 8.01e-02 1.72e-02 7.05e-01
30.00 1.320e+01 233.7 4.094e+17 4.70e+00 7.00e+00 6.70e-02 2.00e-02 6.32e-01
32.60 9.300e+00 239.0 2.820e+17 4.85e+00 8.10e+00 4.96e-02 2.27e-02 5.59e-01
35.00 6.520e+00 245.2 1.927e+17 4.95e+00 8.90e+00 3.70e-02 2.49e-02 5.01e-01
37.50 4.640e+00 251.3 1.338e+17 5.00e+00 8.70e+00 2.52e-02 2.72e-02 4.45e-01
40.00 3.330e+00 257.5 9.373e+16 5.10e+00 7.55e+00 1.74e-02 2.96e-02 3.92e-01
42.50 2.410e+00 263.7 6.624e+16 5.30e+00 5.90e+00 1.16e-02 3.14e-02 3.39e-01
45.00 1.760e+00 269.9 4.726e+16 5.45e+00 4.50e+00 7.67e-03 3.31e-02 2.87e-01
47.50 1.290e+00 275.2 3.398e+16 5.50e+00 3.50e+00 5.32e-03 3.49e-02 2.38e-01
50.00 9.510e-01 275.7 2.500e+16 5.50e+00 2.80e+00 3.22e-03 3.65e-02 1.94e-01
55.00 5.150e-01 269.3 1.386e+16 5.35e+00 1.80e+00 2.03e-03 3.92e-02 1.57e-01
60.00 2.720e-01 257.1 7.668e+15 5.00e+00 1.30e+00 1.40e-03 4.67e-02 1.50e-01
65.00 1.390e-01 240.1 4.196e+15 4.40e+00 8.00e-01 1.02e-03 6.40e-02 1.50e-01
70.00 6.700e-02 218.1 2.227e+15 3.70e+00 4.00e-01 7.77e-04 1.18e-01 1.50e-01
75.00 3.000e-02 196.1 1.109e+15 2.95e+00 1.90e-01 6.26e-04 2.94e-01 1.50e-01
80.00 1.200e-02 174.1 4.996e+14 2.10e+00 2.00e-01 5.17e-04 6.82e-01 1.50e-01
85.00 4.480e-03 165.1 1.967e+14 1.33e+00 5.70e-01 4.35e-04 1.47e+00 1.50e-01
90.00 1.840e-03 165.0 7.204e+13 8.50e-01 7.50e-01 3.73e-04 2.85e+00 1.405-01
95.00 6.250e-04 178.3 2.541e+13 5.40e-01 7.00e-01 3.24e-04 5.17e+00 1.30e-01
100.00 2.580e-04 190.5 9.816e+12 4.OOe-01 4.03e-01 2.84e-04 1.01e+01 1.20e-01
105.00 1.170e-04 222.2 3.816e+12 3.40e-01 2.00e-01 2.52e-04 1.87e+01 1.10e-01
110.00 6.110e-05 262.4 1.688e+12 2.80e-01 5.00e-02 2.26e-04 2.86e+01 9.50e-02
115.00 3.560e-05 316.8 8.145e+11 2.40e-01 5.00e-03 2.04e-04 3.89e+01 6.00e-02
120.00 2.270e-05 380.0 4.330e+11 2.00e-01 5.00e-04 1.85e-04 5.00e+01 3.00e-02
